"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol"
150.786482615603,-1.6625624385289,0.218630345244204,-7.55894184379849,4.0636152460682e-14,4.9418900448717e-12,"54331","GNG2"
297.03943500544,-1.61190271422134,0.213841426573468,-7.52035965389386,5.46257637486346e-14,6.59507137547827e-12,"163227","ZNF100"
391.891206283614,1.08650267461709,0.144518508069996,7.51187626081065,5.82858696516228e-14,6.986337224933e-12,"79754","ASB13"
71.7686255818138,1.96861534996222,0.257542100189005,7.50423507354447,6.1788336410697e-14,7.35325337813302e-12,"55205","ZNF532"
118.892334718364,1.64677963057923,0.218266284612108,7.49067668575611,6.85194168408857e-14,8.09646811337587e-12,"719","C3AR1"
808.044068731552,-1.016364348171,0.13586655962179,-7.47769530092228,7.56373144982901e-14,8.87460068208459e-12,"9053","MAP7"
58.176577804294,-3.10206343810748,0.283718299927885,-7.46790299839053,8.14828717341847e-14,9.422099613054e-12,"100289635","ZNF605"
73.4158191594119,-2.13271377629563,0.284184918808371,-7.46762915125024,8.16525722019832e-14,9.422099613054e-12,"116448","OLIG1"
1002.82659642036,1.13697365944057,0.152220039736828,7.46707000929966,8.20001466834422e-14,9.422099613054e-12,"8623","ASMTL"
46.5499748093045,-2.55963455019705,0.285094449536517,-7.4464772188818,9.58655813736748e-14,1.09398387073068e-11,"1159","CKMT1B"
158.714951255703,-1.62336700043156,0.217412143307522,-7.42797980434334,1.10268788966007e-13,1.24978795439636e-11,"874","CBR3"
9353.93668943384,-0.977274754050341,0.131677171130449,-7.4215795384036,1.15731718031411e-13,1.30284199602793e-11,"25849","PARM1"
644.38043218522,-1.02153224025435,0.137954366050861,-7.40113365674047,1.35026738611667e-13,1.50985267920066e-11,"7111","TMOD1"
733.363270677509,-1.41771092087443,0.191744092238297,-7.38884924968965,1.48104965070971e-13,1.63711447985736e-11,"2040","STOM"
152.236034268399,2.02743464523746,0.276287080420463,7.38860877486852,1.48373018701435e-13,1.63711447985736e-11,"57153","SLC44A2"
135.686003736616,-1.53671234471075,0.206890366819371,-7.38202115902991,1.55904407761783e-13,1.70889693270991e-11,"162494","RHBDL3"
78.3609185489831,-1.91471231245957,0.255308899973953,-7.37282637138057,1.67047992994914e-13,1.81907621652828e-11,"100289187","TMEM225B"
38.4428449890207,-2.37821967321872,0.28335198160136,-7.36919371264563,1.71663073820495e-13,1.85719381358654e-11,"388559","ZNF888"
685.750587011571,1.13408052411238,0.154124460033,7.35484030769796,1.91155507085584e-13,2.05473671196962e-11,"1368","CPM"
8972.23125357033,0.836065866679569,0.114103176898035,7.3271697704743,2.35063974350239e-13,2.51051338246752e-11,"2870","GRK6"
366.257534152229,1.11462067884297,0.15255716875295,7.29953267661964,2.88768930498843e-13,3.06444531913454e-11,"80758","PRR7"
46.0298780301711,2.13051116837125,0.280321841555725,7.29504778665539,2.98553094420177e-13,3.12842333719156e-11,"7483","WNT9A"
206.712101846798,-1.59122800520756,0.217301676842491,-7.29533219436004,2.97923081562026e-13,3.12842333719156e-11,"240","ALOX5"
61.6755743834103,-2.05994585290925,0.276055770631097,-7.29119175824173,3.07225115143285e-13,3.19917352712642e-11,"3597","IL13RA1"
1116.45893165425,1.01553298996947,0.139301234846892,7.28862731853773,3.1312889930079e-13,3.24039788276426e-11,"54985","HCFC1R1"
45.7373515086579,3.02768292548921,0.283843936085606,7.28112487896891,3.3104805396114e-13,3.40468618953491e-11,"105373367","LOC105373367"
964.765589753873,0.805664130688536,0.110871299318823,7.26543438445741,3.71841395838387e-13,3.80076656200206e-11,"349667","RTN4RL2"
2625.97405045641,1.12511700120284,0.155089298319335,7.25399340736948,4.04659824362059e-13,4.08608323254319e-11,"3486","IGFBP3"
520.097377651929,-1.70201802866857,0.234584234829959,-7.25425384029208,4.0388206243775e-13,4.08608323254319e-11,"54845","ESRP1"
663.985301070996,1.05229298616507,0.145489897439778,7.22974274872066,4.8390980374083e-13,4.85688026513613e-11,"24147","FJX1"
45.1753453278026,2.54840725526497,0.286222419186276,7.22432667861418,5.03590681289055e-13,5.02414631195027e-11,"64092","SAMSN1"
